,datetime,network,receiver,sender,status,txfee,txhash,unixtimestamp,value
41,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00527704,1effec2fdea12a4f5457b4e1a44701d22fb6302c786bb7aa4fd3202197e46737,1514678885,3.41173366
42,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00591547,cb7979acb59042d7245a073c91a8dad3e29b72dd4cfa7493ae7a8c8c9ef69677,1514678885,4.57907138
43,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00361113,190ffe473a6921f36f84c39bd1542420f56799eaf81011b4a19defcc7211ebb2,1514678885,6.3807576
44,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00473836,a0bcef952a6d0c1ea08665af5ac74d48e1a2ea174c57ef29ee56dcf98d7ec35c,1514678885,0.04881592
45,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0043688,5c71dd741c72476842545f7ff41f2b64b8b3cbe35bcd2067dcd365eacc4b3c0e,1514678885,1.72514047
46,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0025734,036e2f01744269570cdc6c9cdf944d22c5dcab45b62936876a13f0886cfc2d29,1514678885,0.69025169
47,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0025734,6af4a7488862cb101a4a3c6b3f28809b05af600be476a43671d323723d54973c,1514678885,1.9182718
48,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0025734,1cc2c600635bd3bb0050dc3d672dc6b209b8478e900ff56046e2c9aff38dc43d,1514678885,10.9249221
49,2017-12-30 19:08:05,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0025734,a0ea142fcb1772d64bf8ee4298ffea336009c6deec03d36d8233eb1e95935b5b,1514678885,9.72597134
50,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,Coinbase,1,0.0,d14653ff461d6f491ed1a84337835d1d1f98cf1e8903f6b15aaac7e35a378482,1514679269,15.41266516
51,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.001,b03bf5fa7aab9229185f04b2d3e6a84256e2daaff3b7911c35d47959b7e15d22,1514679269,201.18441
52,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00662669,8bcfb3f483f14c68918892795d92c9900163d3768069cf2a633646e6d61772d9,1514679269,0.03842633
53,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.01995714,c9dd675301eafa04732b4ebd464f0440ae4ba54b90e8a5037d9cd4a165391f1d,1514679269,12.09608063
54,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.01995712,effc124e26d6471a4eb7a21bf31d4d97d73647a7be8efc4ccade9fe156efc7c9,1514679269,12.85715026
55,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00225935,b8af3659b98ee4284c12d3c32a4bff64722913b196516b65322b3e3b80c8acca,1514679269,0.0040103
56,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00225936,1ccde52997910cbdc9a627b9608b6eedfb2144c44a76deb171e3ce114277e26a,1514679269,0.00104064
57,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00225935,e9e17295c595ec3db3de9cb4c43382903d7600522aa501e1718e1e21294891ea,1514679269,0.00179639
